Cell,Cycle No,Step name,Step No,Start,End,Current_min,Current_max,Current_initial,Current_final,Capacity_min,Capacity_max,Volt_min,Volt_max,Volt_mean,Power_min_W,Power_max_W,Energy_mean_Wh,Duration_s,c_rate,Current_drop_A
RD_LFP_ConstantPower_REPT_TS_150_0001_0_100,1,CC_DChg,2,2025-11-26 12:24:47.146,2025-11-26 12:25:08.115,50.0,50.0,50.0,50.0,0.0,0.296,2.499941,2.688999,2.585708956521739,124.99344008499999,134.436674412,0.39804939130434785,21.0,0.33,0.0
RD_LFP_ConstantPower_REPT_TS_150_0001_0_100,1,CP_Chg,4,2025-11-26 12:55:08.463,2025-11-26 13:13:04.817,27.69,34.13,34.13,27.69,0.0,8.716,2.636974,3.25,3.0939662894248605,89.995325624,90.01130058300001,13.462237239332097,1076.0,0.23,6.44
RD_LFP_ConstantPower_REPT_TS_150_0001_0_100,1,CP_Chg,5,2025-11-26 13:13:04.837,2025-11-26 15:51:41.813,50.0,55.2,55.2,50.0,0.0,140.288,3.260717,3.60001,3.3922896558789537,179.99362479500002,180.00103395099998,237.89545106188925,9517.0,0.37,5.2
RD_LFP_ConstantPower_REPT_TS_150_0001_0_100,1,CP_Chg,6,2025-11-26 15:51:41.832,2025-11-26 15:51:45.763,73.98,74.97,74.97,73.98,0.0,0.082,3.6015,3.650008,3.6317542000000005,269.999929028,270.033686108,0.14941500000000002,4.0,0.5,0.99
RD_LFP_ConstantPower_REPT_TS_150_0001_0_100,1,CP_DChg,8,2025-11-26 16:21:46.063,2025-11-26 16:21:46.063,75.5,75.5,75.5,75.5,0.0,0.0,3.331102,3.331102,3.331102,251.49822431799998,251.49822431799998,0.000957,0.0,0.5,0.0
RD_LFP_ConstantPower_REPT_TS_150_0001_0_100,1,CP_DChg,9,2025-11-26 16:21:46.095,2025-11-26 17:03:04.179,54.58,55.38,54.58,55.38,0.0,38.048,3.25,3.298147,3.257251479032258,179.99213962599998,180.000585655,61.97429727983871,2478.0,0.37,0.8
RD_LFP_ConstantPower_REPT_TS_150_0001_0_100,1,CP_DChg,10,2025-11-26 17:03:04.209,2025-11-26 20:58:49.059,27.4,36.0,27.59,36.0,0.0,110.551,2.499979,3.284031,3.201711675597342,89.986280796,90.00065936600001,176.80909539389228,14145.0,0.24,8.41
RD_LFP_ConstantPower_REPT_TS_150_0001_0_100,1,Rest,1,2025-11-26 12:24:17.142,2025-11-26 12:24:47.110,0.0,0.0,0.0,0.0,0.0,0.0,2.722028,2.722045,2.7220340967741934,0.0,0.0,0.0,30.0,0.0,0.0
RD_LFP_ConstantPower_REPT_TS_150_0001_0_100,1,Rest,3,2025-11-26 12:25:08.155,2025-11-26 12:55:08.431,0.0,0.0,0.0,0.0,0.0,0.0,2.503031,2.625108,2.6211898328706273,0.0,0.0,0.0,1800.0,0.0,0.0
RD_LFP_ConstantPower_REPT_TS_150_0001_0_100,1,Rest,7,2025-11-26 15:51:45.782,2025-11-26 16:21:46.045,0.0,0.0,0.0,0.0,0.0,0.0,3.338247,3.648418,3.3559351987784565,0.0,0.0,0.0,1800.0,0.0,0.0
RD_LFP_ConstantPower_REPT_TS_150_0001_0_100,1,Rest,11,2025-11-26 20:58:49.086,2025-11-26 21:28:49.329,0.0,0.0,0.0,0.0,0.0,0.0,2.500223,2.728299,2.6954384131038314,0.0,0.0,0.0,1800.0,0.0,0.0
RD_LFP_ConstantPower_REPT_TS_150_0001_0_100,2,CP_Chg,4,2025-11-26 21:28:49.360,2025-11-26 21:46:37.332,27.69,32.9,32.9,27.69,0.0,8.612,2.735144,3.25,3.1034180785781103,89.995218941,90.00451590300001,13.34967622263798,1068.0,0.22,5.21
RD_LFP_ConstantPower_REPT_TS_150_0001_0_100,2,CP_Chg,5,2025-11-26 21:46:37.351,2025-11-27 00:25:24.821,50.0,55.28,55.28,50.0,0.0,140.688,3.256176,3.600009,3.3865879066009024,179.993557033,180.00108945199997,238.1954294148389,9527.0,0.37,5.28
RD_LFP_ConstantPower_REPT_TS_150_0001_0_100,2,CP_Chg,6,2025-11-27 00:25:24.844,2025-11-27 00:25:28.625,73.98,74.75,74.75,73.98,0.0,0.078,3.612151,3.65005,3.6342404000000004,269.999368817,270.03568236899997,0.1469308,4.0,0.5,0.77
RD_LFP_ConstantPower_REPT_TS_150_0001_0_100,2,CP_DChg,8,2025-11-27 00:55:28.994,2025-11-27 00:55:28.994,75.5,75.5,75.5,75.5,0.0,0.001,3.330105,3.330105,3.330105,251.423117316,251.423117316,0.00122,0.0,0.5,0.0
RD_LFP_ConstantPower_REPT_TS_150_0001_0_100,2,CP_DChg,9,2025-11-27 00:55:29.032,2025-11-27 01:36:24.185,54.48,55.38,54.52,55.38,0.0,37.693,3.249999,3.304042,3.2572467875457876,179.990916723,180.00055457800002,61.39929083882784,2455.0,0.37,0.86
RD_LFP_ConstantPower_REPT_TS_150_0001_0_100,2,CP_DChg,10,2025-11-27 01:36:24.213,2025-11-27 05:34:48.510,27.4,35.99,27.58,35.99,0.0,111.723,2.499976,3.284127,3.2037040265641386,89.985691129,90.000715525,178.79655537728067,14304.0,0.24,8.41
RD_LFP_ConstantPower_REPT_TS_150_0001_0_100,2,Rest,7,2025-11-27 00:25:28.661,2025-11-27 00:55:28.954,0.0,0.0,0.0,0.0,0.0,0.0,3.344793,3.645421,3.3638869050527487,0.0,0.0,0.0,1800.0,0.0,0.0
RD_LFP_ConstantPower_REPT_TS_150_0001_0_100,2,Rest,11,2025-11-27 05:34:48.546,2025-11-27 06:04:49.073,0.0,0.0,0.0,0.0,0.0,0.0,2.501601,2.72193,2.687651797890061,0.0,0.0,0.0,1801.0,0.0,0.0
RD_LFP_ConstantPower_REPT_TS_150_0001_0_100,3,CP_Chg,4,2025-11-27 06:04:49.100,2025-11-27 06:22:58.396,27.69,33.06,33.06,27.69,0.0,8.792,2.722126,3.250001,3.1024508927589367,89.995158959,90.004423796,13.624641343721358,1089.0,0.22,5.37
RD_LFP_ConstantPower_REPT_TS_150_0001_0_100,3,CP_Chg,5,2025-11-27 06:22:58.424,2025-11-27 09:01:52.453,50.0,55.38,55.38,50.0,0.0,140.824,3.250002,3.600012,3.385528074252753,179.993789768,180.001924804,238.34545545149447,9534.0,0.37,5.38
RD_LFP_ConstantPower_REPT_TS_150_0001_0_100,3,CP_Chg,6,2025-11-27 09:01:52.485,2025-11-27 09:01:56.081,73.98,74.73,74.73,73.98,0.0,0.077,3.61321,3.650072,3.6345652,269.999859676,270.036154611,0.1458428,4.0,0.5,0.75
RD_LFP_ConstantPower_REPT_TS_150_0001_0_100,3,CP_DChg,8,2025-11-27 09:31:56.432,2025-11-27 09:31:56.432,75.5,75.5,75.5,75.5,0.0,0.001,3.317604,3.317604,3.317604,250.479241339,250.479241339,0.0009065,0.0,0.5,0.0
RD_LFP_ConstantPower_REPT_TS_150_0001_0_100,3,CP_DChg,9,2025-11-27 09:31:56.460,2025-11-27 10:16:39.434,54.43,55.38,54.46,55.38,0.0,41.164,3.25,3.30705,3.258539360283159,179.990983208,180.00042367700001,67.07419879508197,2683.0,0.37,0.92
RD_LFP_ConstantPower_REPT_TS_150_0001_0_100,3,CP_DChg,10,2025-11-27 10:16:39.453,2025-11-27 14:07:44.986,27.41,36.0,27.69,36.0,0.0,108.466,2.499987,3.283692,3.1994407890979883,89.987708078,90.00097948199999,173.34668427579493,13866.0,0.24,8.31
RD_LFP_ConstantPower_REPT_TS_150_0001_0_100,3,Rest,7,2025-11-27 09:01:56.101,2025-11-27 09:31:56.399,0.0,0.0,0.0,0.0,0.0,0.0,3.347249,3.647213,3.366620037756802,0.0,0.0,0.0,1800.0,0.0,0.0
RD_LFP_ConstantPower_REPT_TS_150_0001_0_100,3,Rest,11,2025-11-27 14:07:45.015,2025-11-27 14:37:45.426,0.0,0.0,0.0,0.0,0.0,0.0,2.500107,2.737538,2.705813158800666,0.0,0.0,0.0,1800.0,0.0,0.0
RD_LFP_ConstantPower_REPT_TS_150_0003_0_100,1,CC_DChg,2,2025-11-26 12:24:47.199,2025-11-26 12:25:07.677,49.99,50.0,49.99,50.0,0.0,0.289,2.499936,2.695664,2.5900725454545452,124.992320115,134.76954915800002,0.3812456818181818,20.0,0.33,0.01
RD_LFP_ConstantPower_REPT_TS_150_0003_0_100,1,CP_Chg,4,2025-11-26 12:55:08.005,2025-11-26 13:13:01.759,27.69,34.1,34.1,27.69,0.0,8.694,2.639414,3.25,3.094311842936803,89.995306229,90.013379011,13.437222321561338,1074.0,0.23,6.41
RD_LFP_ConstantPower_REPT_TS_150_0003_0_100,1,CP_Chg,5,2025-11-26 13:13:01.801,2025-11-26 15:52:32.071,50.0,55.12,55.12,50.0,0.0,141.184,3.265764,3.600009,3.389725129140111,179.987590692,180.00460540199998,239.24544291599625,9570.0,0.37,5.12
RD_LFP_ConstantPower_REPT_TS_150_0003_0_100,1,CP_Chg,6,2025-11-26 15:52:32.101,2025-11-26 15:52:36.228,73.98,74.82,74.82,73.98,0.0,0.086,3.608741,3.650035,3.6352196666666665,269.99994531699997,270.033935847,0.17692666666666668,4.0,0.5,0.84
RD_LFP_ConstantPower_REPT_TS_150_0003_0_100,1,CP_DChg,8,2025-11-26 16:22:36.397,2025-11-26 16:22:36.397,75.5,75.5,75.5,75.5,0.0,0.0,3.307443,3.307443,3.307443,249.711708364,249.711708364,0.000782,0.0,0.5,0.0
RD_LFP_ConstantPower_REPT_TS_150_0003_0_100,1,CP_DChg,9,2025-11-26 16:22:36.424,2025-11-26 17:09:57.018,54.46,55.38,54.46,55.38,0.0,43.564,3.25,3.304892,3.2603373951442642,179.99188454,180.000477571,71.0241379127375,2841.0,0.37,0.92
RD_LFP_ConstantPower_REPT_TS_150_0003_0_100,1,CP_DChg,10,2025-11-26 17:09:57.049,2025-11-26 20:55:43.707,27.41,35.99,27.58,35.99,0.0,105.858,2.499996,3.28279,3.202227127925002,89.985771023,90.00076614599999,169.32172929541596,13547.0,0.24,8.41
RD_LFP_ConstantPower_REPT_TS_150_0003_0_100,1,Rest,1,2025-11-26 12:24:17.187,2025-11-26 12:24:47.152,0.0,0.0,0.0,0.0,0.0,0.0,2.720638,2.720662,2.7206485806451615,0.0,0.0,0.0,30.0,0.0,0.0
RD_LFP_ConstantPower_REPT_TS_150_0003_0_100,1,Rest,3,2025-11-26 12:25:07.700,2025-11-26 12:55:07.981,0.0,0.0,0.0,0.0,0.0,0.0,2.50136,2.620568,2.616392513048307,0.0,0.0,0.0,1800.0,0.0,0.0
RD_LFP_ConstantPower_REPT_TS_150_0003_0_100,1,Rest,7,2025-11-26 15:52:36.260,2025-11-26 16:22:36.367,0.0,0.0,0.0,0.0,0.0,0.0,3.338555,3.645383,3.3569704203220434,0.0,0.0,0.0,1800.0,0.0,0.0
RD_LFP_ConstantPower_REPT_TS_150_0003_0_100,1,Rest,11,2025-11-26 20:55:43.738,2025-11-26 21:25:44.109,0.0,0.0,0.0,0.0,0.0,0.0,2.50346,2.738561,2.7039474930594114,0.0,0.0,0.0,1800.0,0.0,0.0
RD_LFP_ConstantPower_REPT_TS_150_0003_0_100,2,CP_Chg,4,2025-11-26 21:25:44.147,2025-11-26 21:43:17.438,27.69,32.63,32.63,27.69,0.0,8.499,2.757933,3.250002,3.1051240843601895,89.995123532,90.00429790400001,13.174694366824646,1053.0,0.22,4.94
RD_LFP_ConstantPower_REPT_TS_150_0003_0_100,2,CP_Chg,5,2025-11-26 21:43:17.457,2025-11-27 00:22:55.376,50.0,55.22,55.22,50.0,0.0,141.528,3.259508,3.600011,3.3842440011483457,179.99328939300003,180.001068852,239.44538139210772,9578.0,0.37,5.22
RD_LFP_ConstantPower_REPT_TS_150_0003_0_100,2,CP_Chg,6,2025-11-27 00:22:55.400,2025-11-27 00:22:59.394,73.98,74.86,74.86,73.98,0.0,0.083,3.606706,3.650064,3.6323686000000004,269.999298298,270.03448985399996,0.1497058,4.0,0.5,0.88
RD_LFP_ConstantPower_REPT_TS_150_0003_0_100,2,CP_DChg,8,2025-11-27 00:52:59.482,2025-11-27 00:52:59.482,75.5,75.5,75.5,75.5,0.0,0.001,3.307199,3.307199,3.307199,249.693309532,249.693309532,0.001545,0.0,0.5,0.0
RD_LFP_ConstantPower_REPT_TS_150_0003_0_100,2,CP_DChg,9,2025-11-27 00:52:59.532,2025-11-27 01:40:01.888,54.37,55.38,54.37,55.38,0.0,43.272,3.25,3.31056,3.2603044148069427,179.99083900899998,180.00042082,70.54921590435707,2822.0,0.37,1.01
RD_LFP_ConstantPower_REPT_TS_150_0003_0_100,2,CP_DChg,10,2025-11-27 01:40:01.929,2025-11-27 05:28:10.519,27.41,35.99,27.56,35.99,0.0,106.9,2.499995,3.283049,3.2042239983928704,89.98484003,90.000656265,171.096706022792,13689.0,0.24,8.43
RD_LFP_ConstantPower_REPT_TS_150_0003_0_100,2,Rest,7,2025-11-27 00:22:59.417,2025-11-27 00:52:59.452,0.0,0.0,0.0,0.0,0.0,0.0,3.345137,3.647028,3.3648655186007774,0.0,0.0,0.0,1800.0,0.0,0.0
RD_LFP_ConstantPower_REPT_TS_150_0003_0_100,2,Rest,11,2025-11-27 05:28:10.549,2025-11-27 05:58:10.695,0.0,0.0,0.0,0.0,0.0,0.0,2.503643,2.731335,2.6952417995558022,0.0,0.0,0.0,1800.0,0.0,0.0
RD_LFP_ConstantPower_REPT_TS_150_0003_0_100,3,CP_Chg,4,2025-11-27 05:58:10.726,2025-11-27 06:16:09.313,27.69,32.74,32.74,27.69,0.0,8.698,2.748849,3.250001,3.1042492935185186,89.994980123,90.004197711,13.487178334259259,1079.0,0.22,5.05
RD_LFP_ConstantPower_REPT_TS_150_0003_0_100,3,CP_Chg,5,2025-11-27 06:16:09.354,2025-11-27 08:55:49.510,50.0,55.11,55.11,50.0,0.0,141.62,3.26597,3.600004,3.3830753959507414,179.993047071,180.001438275,239.52044187445208,9580.0,0.37,5.11
RD_LFP_ConstantPower_REPT_TS_150_0003_0_100,3,CP_Chg,6,2025-11-27 08:55:49.529,2025-11-27 08:55:53.463,73.98,74.87,74.87,73.98,0.0,0.082,3.606096,3.650032,3.6323364,269.999747108,270.036360056,0.1490016,4.0,0.5,0.89
RD_LFP_ConstantPower_REPT_TS_150_0003_0_100,3,CP_DChg,8,2025-11-27 09:25:54.038,2025-11-27 09:25:54.038,75.5,75.5,75.5,75.5,0.0,0.001,3.309596,3.309596,3.309596,249.87427294699998,249.87427294699998,0.000846,0.0,0.5,0.0
RD_LFP_ConstantPower_REPT_TS_150_0003_0_100,3,CP_DChg,9,2025-11-27 09:25:54.069,2025-11-27 10:16:07.498,54.31,55.38,54.31,55.38,0.0,46.185,3.249999,3.314595,3.261576293297943,179.99070961799998,180.00035941899998,75.32416496980757,3013.0,0.37,1.07
RD_LFP_ConstantPower_REPT_TS_150_0003_0_100,3,CP_DChg,10,2025-11-27 10:16:07.529,2025-11-27 13:58:07.438,27.42,35.99,27.57,35.99,0.0,104.17,2.5,3.282218,3.2003483060121596,89.986975,90.00076245700001,166.5217856899347,13320.0,0.24,8.42
RD_LFP_ConstantPower_REPT_TS_150_0003_0_100,3,Rest,7,2025-11-27 08:55:53.513,2025-11-27 09:25:54.011,0.0,0.0,0.0,0.0,0.0,0.0,3.347454,3.645594,3.3674247418101055,0.0,0.0,0.0,1800.0,0.0,0.0
RD_LFP_ConstantPower_REPT_TS_150_0003_0_100,3,Rest,11,2025-11-27 13:58:07.469,2025-11-27 14:28:07.656,0.0,0.0,0.0,0.0,0.0,0.0,2.502786,2.745425,2.7114076490838426,0.0,0.0,0.0,1800.0,0.0,0.0
RD_LFP_ConstantPower_REPT_TS_150_0004_0_100,1,CC_DChg,2,2025-11-26 12:24:47.249,2025-11-26 12:25:05.447,49.99,50.0,49.99,50.0,0.0,0.258,2.499917,2.676761,2.5814833,124.99134515,133.824588569,0.3430835,18.0,0.33,0.01
RD_LFP_ConstantPower_REPT_TS_150_0004_0_100,1,CP_Chg,4,2025-11-26 12:55:05.770,2025-11-26 13:13:19.475,27.69,34.09,34.09,27.69,0.0,8.855,2.640358,3.250001,3.094396592694064,89.995132098,90.01220869100001,13.674735608219178,1094.0,0.23,6.4
RD_LFP_ConstantPower_REPT_TS_150_0004_0_100,1,CP_Chg,5,2025-11-26 13:13:19.495,2025-11-26 15:53:18.836,50.0,55.21,55.21,50.0,0.0,141.767,3.260304,3.600006,3.3860502766666665,179.99329102500002,180.00057128100002,239.97037187270834,9599.0,0.37,5.21
